"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"UKM00003772","HEATHROW, UK","1948-12-01",,,"38",,
"UKM00003772","HEATHROW, UK","1948-12-02",,,"49",,
"UKM00003772","HEATHROW, UK","1948-12-03",,,"54",,
"UKM00003772","HEATHROW, UK","1948-12-04",,,"47",,
"UKM00003772","HEATHROW, UK","1948-12-05",,,"43",,
"UKM00003772","HEATHROW, UK","1948-12-06",,,"51",,
"UKM00003772","HEATHROW, UK","1948-12-07",,,"55",,
"UKM00003772","HEATHROW, UK","1948-12-08",,,"50",,
"UKM00003772","HEATHROW, UK","1948-12-09",,,"50",,
"UKM00003772","HEATHROW, UK","1948-12-10",,,"50",,
"UKM00003772","HEATHROW, UK","1948-12-11",,,"51",,
"UKM00003772","HEATHROW, UK","1948-12-12",,,"50",,
"UKM00003772","HEATHROW, UK","1948-12-13",,,"51",,
"UKM00003772","HEATHROW, UK","1948-12-14",,,"55",,
"UKM00003772","HEATHROW, UK","1948-12-15",,,"44",,
"UKM00003772","HEATHROW, UK","1948-12-16",,,"41",,
"UKM00003772","HEATHROW, UK","1948-12-17",,,"44",,
"UKM00003772","HEATHROW, UK","1948-12-18",,,"44",,
"UKM00003772","HEATHROW, UK","1948-12-19",,,"41",,
"UKM00003772","HEATHROW, UK","1948-12-20",,,"40",,
"UKM00003772","HEATHROW, UK","1948-12-21",,,"42",,
"UKM00003772","HEATHROW, UK","1948-12-22",,,"39",,
"UKM00003772","HEATHROW, UK","1948-12-23",,,"37",,
"UKM00003772","HEATHROW, UK","1948-12-24",,,"41",,
"UKM00003772","HEATHROW, UK","1948-12-25",,,"34",,
"UKM00003772","HEATHROW, UK","1948-12-26",,,"28",,
"UKM00003772","HEATHROW, UK","1948-12-27",,,"32",,
"UKM00003772","HEATHROW, UK","1948-12-28",,,"40",,
"UKM00003772","HEATHROW, UK","1948-12-29",,,"42",,
"UKM00003772","HEATHROW, UK","1948-12-30",,,"44",,
"UKM00003772","HEATHROW, UK","1948-12-31",,,"39",,
"UKM00003772","HEATHROW, UK","1949-01-01",,,"44",,
"UKM00003772","HEATHROW, UK","1949-01-02",,,"42",,
"UKM00003772","HEATHROW, UK","1949-01-03",,,"34",,
"UKM00003772","HEATHROW, UK","1949-01-04","0.10",,"41",,
"UKM00003772","HEATHROW, UK","1949-01-05",,,"40",,
"UKM00003772","HEATHROW, UK","1949-01-06",,,"45",,
"UKM00003772","HEATHROW, UK","1949-01-07",,,"49",,
"UKM00003772","HEATHROW, UK","1949-01-08",,,"42",,
"UKM00003772","HEATHROW, UK","1949-01-09",,,"35",,
"UKM00003772","HEATHROW, UK","1949-01-10",,,"38",,
"UKM00003772","HEATHROW, UK","1949-01-11",,,"43",,
"UKM00003772","HEATHROW, UK","1949-01-12",,,"36",,
"UKM00003772","HEATHROW, UK","1949-01-13",,,"39",,
"UKM00003772","HEATHROW, UK","1949-01-14",,,"50",,
"UKM00003772","HEATHROW, UK","1949-01-15",,,"47",,
"UKM00003772","HEATHROW, UK","1949-01-16",,,"48",,
"UKM00003772","HEATHROW, UK","1949-01-17",,,"47",,
"UKM00003772","HEATHROW, UK","1949-01-18",,,"47",,
"UKM00003772","HEATHROW, UK","1949-01-19",,,"49",,
"UKM00003772","HEATHROW, UK","1949-01-20",,,"44",,
"UKM00003772","HEATHROW, UK","1949-01-21",,,"44",,
"UKM00003772","HEATHROW, UK","1949-01-22",,,"42",,
"UKM00003772","HEATHROW, UK","1949-01-23",,,"44",,
"UKM00003772","HEATHROW, UK","1949-01-24",,,"40",,
"UKM00003772","HEATHROW, UK","1949-01-25",,,"43",,
"UKM00003772","HEATHROW, UK","1949-01-26",,,"44",,
"UKM00003772","HEATHROW, UK","1949-01-27",,,"42",,
"UKM00003772","HEATHROW, UK","1949-01-28",,,"37",,
"UKM00003772","HEATHROW, UK","1949-01-29",,,"31",,
"UKM00003772","HEATHROW, UK","1949-01-30",,,"36",,
"UKM00003772","HEATHROW, UK","1949-01-31",,,"38",,
"UKM00003772","HEATHROW, UK","1949-02-01",,,"39",,
"UKM00003772","HEATHROW, UK","1949-02-02",,,"35",,
"UKM00003772","HEATHROW, UK","1949-02-03",,,"32",,
"UKM00003772","HEATHROW, UK","1949-02-04",,,"31",,
"UKM00003772","HEATHROW, UK","1949-02-05",,,"33",,
"UKM00003772","HEATHROW, UK","1949-02-06",,,"33",,
"UKM00003772","HEATHROW, UK","1949-02-07",,,"40",,
"UKM00003772","HEATHROW, UK","1949-02-08",,,"43",,
"UKM00003772","HEATHROW, UK","1949-02-09",,,"43",,
"UKM00003772","HEATHROW, UK","1949-02-10",,,"41",,
"UKM00003772","HEATHROW, UK","1949-02-11",,,"36",,
"UKM00003772","HEATHROW, UK","1949-02-12",,,"40",,
"UKM00003772","HEATHROW, UK","1949-02-13",,,"40",,
"UKM00003772","HEATHROW, UK","1949-02-14",,,"47",,
"UKM00003772","HEATHROW, UK","1949-02-15",,,"49",,
"UKM00003772","HEATHROW, UK","1949-02-16",,,"44",,
"UKM00003772","HEATHROW, UK","1949-02-17",,,"40",,
"UKM00003772","HEATHROW, UK","1949-02-18",,,"45",,
"UKM00003772","HEATHROW, UK","1949-02-19",,,"44",,
"UKM00003772","HEATHROW, UK","1949-02-20",,,"44",,
"UKM00003772","HEATHROW, UK","1949-02-21",,,"50",,
"UKM00003772","HEATHROW, UK","1949-02-22",,,"45",,
"UKM00003772","HEATHROW, UK","1949-02-23",,,"52",,
"UKM00003772","HEATHROW, UK","1949-02-24",,,"49",,
"UKM00003772","HEATHROW, UK","1949-02-25",,,"42",,
"UKM00003772","HEATHROW, UK","1949-02-26",,,"46",,
"UKM00003772","HEATHROW, UK","1949-02-27",,,"43",,
"UKM00003772","HEATHROW, UK","1949-02-28",,,"40",,
"UKM00003772","HEATHROW, UK","1949-03-01",,,"43",,
"UKM00003772","HEATHROW, UK","1949-03-02",,,"35",,
"UKM00003772","HEATHROW, UK","1949-03-03",,,"35",,
"UKM00003772","HEATHROW, UK","1949-03-04",,,"35",,
"UKM00003772","HEATHROW, UK","1949-03-05",,,"33",,
"UKM00003772","HEATHROW, UK","1949-03-06","0.04",,"32",,
"UKM00003772","HEATHROW, UK","1949-03-07",,,"37",,
"UKM00003772","HEATHROW, UK","1949-03-08",,,"36",,
"UKM00003772","HEATHROW, UK","1949-03-09",,,"34",,
"UKM00003772","HEATHROW, UK","1949-03-10",,,"36",,
"UKM00003772","HEATHROW, UK","1949-03-11",,,"36",,
"UKM00003772","HEATHROW, UK","1949-03-12",,,"38",,
"UKM00003772","HEATHROW, UK","1949-03-13",,,"47",,
"UKM00003772","HEATHROW, UK","1949-03-14",,,"46",,
"UKM00003772","HEATHROW, UK","1949-03-15",,,"42",,
"UKM00003772","HEATHROW, UK","1949-03-16",,,"47",,
"UKM00003772","HEATHROW, UK","1949-03-17",,,"46",,
"UKM00003772","HEATHROW, UK","1949-03-18",,,"44",,
"UKM00003772","HEATHROW, UK","1949-03-19",,,"40",,
"UKM00003772","HEATHROW, UK","1949-03-20",,,"38",,
"UKM00003772","HEATHROW, UK","1949-03-21",,,"46",,
"UKM00003772","HEATHROW, UK","1949-03-22",,,"50",,
"UKM00003772","HEATHROW, UK","1949-03-23",,,"51",,
"UKM00003772","HEATHROW, UK","1949-03-24",,,"49",,
"UKM00003772","HEATHROW, UK","1949-03-25",,,"46",,
"UKM00003772","HEATHROW, UK","1949-03-26",,,"51",,
"UKM00003772","HEATHROW, UK","1949-03-27",,,"44",,
"UKM00003772","HEATHROW, UK","1949-03-28",,,"42",,
"UKM00003772","HEATHROW, UK","1949-03-29",,,"42",,
"UKM00003772","HEATHROW, UK","1949-03-30",,,"42",,
"UKM00003772","HEATHROW, UK","1949-03-31",,,"42",,
"UKM00003772","HEATHROW, UK","1949-04-01",,,"45",,
"UKM00003772","HEATHROW, UK","1949-04-02",,,"50",,
"UKM00003772","HEATHROW, UK","1949-04-03","0.05",,"54",,
"UKM00003772","HEATHROW, UK","1949-04-04","0.05",,"55",,
"UKM00003772","HEATHROW, UK","1949-04-05",,,"52",,
"UKM00003772","HEATHROW, UK","1949-04-06",,,"54",,
"UKM00003772","HEATHROW, UK","1949-04-07",,,"45",,
"UKM00003772","HEATHROW, UK","1949-04-08",,,"42",,
"UKM00003772","HEATHROW, UK","1949-04-09",,,"42",,
"UKM00003772","HEATHROW, UK","1949-04-10",,,"45",,
"UKM00003772","HEATHROW, UK","1949-04-11",,,"52",,
"UKM00003772","HEATHROW, UK","1949-04-12",,,"56",,
"UKM00003772","HEATHROW, UK","1949-04-13",,,"56",,
"UKM00003772","HEATHROW, UK","1949-04-14",,,"57",,
"UKM00003772","HEATHROW, UK","1949-04-15",,,"60",,
"UKM00003772","HEATHROW, UK","1949-04-16",,,"64",,
"UKM00003772","HEATHROW, UK","1949-04-17",,,"62",,
"UKM00003772","HEATHROW, UK","1949-04-18",,,"59",,
"UKM00003772","HEATHROW, UK","1949-04-19",,,"53",,
"UKM00003772","HEATHROW, UK","1949-04-20",,,"52",,
"UKM00003772","HEATHROW, UK","1949-04-21",,,"50",,
"UKM00003772","HEATHROW, UK","1949-04-22",,,"47",,
"UKM00003772","HEATHROW, UK","1949-04-23",,,"50",,
"UKM00003772","HEATHROW, UK","1949-04-24",,,"53",,
"UKM00003772","HEATHROW, UK","1949-04-25",,,"48",,
"UKM00003772","HEATHROW, UK","1949-04-26",,,"47",,
"UKM00003772","HEATHROW, UK","1949-04-27",,,"53",,
"UKM00003772","HEATHROW, UK","1949-04-28",,,"54",,
"UKM00003772","HEATHROW, UK","1949-04-29",,,"48",,
"UKM00003772","HEATHROW, UK","1949-04-30","0.05",,"47",,
"UKM00003772","HEATHROW, UK","1949-05-01",,,"48",,
"UKM00003772","HEATHROW, UK","1949-05-02",,,"50",,
"UKM00003772","HEATHROW, UK","1949-05-03",,,"52",,
"UKM00003772","HEATHROW, UK","1949-05-04",,,"52",,
"UKM00003772","HEATHROW, UK","1949-05-05",,,"49",,
"UKM00003772","HEATHROW, UK","1949-05-06",,,"48",,
"UKM00003772","HEATHROW, UK","1949-05-07",,,"51",,
"UKM00003772","HEATHROW, UK","1949-05-08",,,"52",,
"UKM00003772","HEATHROW, UK","1949-05-09",,,"48",,
"UKM00003772","HEATHROW, UK","1949-05-10",,,"48",,
"UKM00003772","HEATHROW, UK","1949-05-11",,,"54",,
"UKM00003772","HEATHROW, UK","1949-05-12",,,"54",,
"UKM00003772","HEATHROW, UK","1949-05-13",,,"55",,
"UKM00003772","HEATHROW, UK","1949-05-14",,,"56",,
"UKM00003772","HEATHROW, UK","1949-05-15",,,"56",,
"UKM00003772","HEATHROW, UK","1949-05-16",,,"57",,
"UKM00003772","HEATHROW, UK","1949-05-17",,,"54",,
"UKM00003772","HEATHROW, UK","1949-05-18",,,"54",,
"UKM00003772","HEATHROW, UK","1949-05-19",,,"56",,
"UKM00003772","HEATHROW, UK","1949-05-20",,,"55",,
"UKM00003772","HEATHROW, UK","1949-05-21",,,"57",,
"UKM00003772","HEATHROW, UK","1949-05-22",,,"59",,
"UKM00003772","HEATHROW, UK","1949-05-23",,,"58",,
"UKM00003772","HEATHROW, UK","1949-05-24",,,"56",,
"UKM00003772","HEATHROW, UK","1949-05-25",,,"56",,
"UKM00003772","HEATHROW, UK","1949-05-26",,,"52",,
"UKM00003772","HEATHROW, UK","1949-05-27",,,"53",,
"UKM00003772","HEATHROW, UK","1949-05-28",,,"56",,
"UKM00003772","HEATHROW, UK","1949-05-29",,,"52",,
"UKM00003772","HEATHROW, UK","1949-05-30",,,"53",,
"UKM00003772","HEATHROW, UK","1949-05-31",,,"53",,
"UKM00003772","HEATHROW, UK","1949-06-01",,,"53",,
"UKM00003772","HEATHROW, UK","1949-06-02",,,"53",,
"UKM00003772","HEATHROW, UK","1949-06-03","0.04",,"53",,
"UKM00003772","HEATHROW, UK","1949-06-04",,,"56",,
"UKM00003772","HEATHROW, UK","1949-06-05",,,"57",,
"UKM00003772","HEATHROW, UK","1949-06-06",,,"62",,
"UKM00003772","HEATHROW, UK","1949-06-07",,,"62",,
"UKM00003772","HEATHROW, UK","1949-06-08",,,"59",,
"UKM00003772","HEATHROW, UK","1949-06-09",,,"62",,
"UKM00003772","HEATHROW, UK","1949-06-10",,,"65",,
"UKM00003772","HEATHROW, UK","1949-06-11",,,"63",,
"UKM00003772","HEATHROW, UK","1949-06-12",,,"63",,
"UKM00003772","HEATHROW, UK","1949-06-13",,,"64",,
"UKM00003772","HEATHROW, UK","1949-06-14",,,"59",,
"UKM00003772","HEATHROW, UK","1949-06-15",,,"57",,
"UKM00003772","HEATHROW, UK","1949-06-16",,,"55",,
"UKM00003772","HEATHROW, UK","1949-06-17",,,"57",,
"UKM00003772","HEATHROW, UK","1949-06-18",,,"59",,
"UKM00003772","HEATHROW, UK","1949-06-19",,,"54",,
"UKM00003772","HEATHROW, UK","1949-06-20",,,"61",,
"UKM00003772","HEATHROW, UK","1949-06-21",,,"64",,
"UKM00003772","HEATHROW, UK","1949-06-22",,,"58",,
"UKM00003772","HEATHROW, UK","1949-06-23",,,"60",,
"UKM00003772","HEATHROW, UK","1949-06-24",,,"61",,
"UKM00003772","HEATHROW, UK","1949-06-25",,,"65",,
"UKM00003772","HEATHROW, UK","1949-06-26",,,"69",,
"UKM00003772","HEATHROW, UK","1949-06-27",,,"73",,
"UKM00003772","HEATHROW, UK","1949-06-28",,,"74",,
"UKM00003772","HEATHROW, UK","1949-06-29",,,"70",,
"UKM00003772","HEATHROW, UK","1949-06-30",,,"69",,
"UKM00003772","HEATHROW, UK","1949-07-01",,,"69",,
"UKM00003772","HEATHROW, UK","1949-07-02",,,"66",,
"UKM00003772","HEATHROW, UK","1949-07-03",,,"67",,
"UKM00003772","HEATHROW, UK","1949-07-04",,,"68",,
"UKM00003772","HEATHROW, UK","1949-07-05",,,"63",,
"UKM00003772","HEATHROW, UK","1949-07-06",,,"59",,
"UKM00003772","HEATHROW, UK","1949-07-07",,,"55",,
"UKM00003772","HEATHROW, UK","1949-07-08",,,"60",,
"UKM00003772","HEATHROW, UK","1949-07-09",,,"61",,
"UKM00003772","HEATHROW, UK","1949-07-10",,,"65",,
"UKM00003772","HEATHROW, UK","1949-07-11",,,"68",,
"UKM00003772","HEATHROW, UK","1949-07-12",,,"73",,
"UKM00003772","HEATHROW, UK","1949-07-13",,,"70",,
"UKM00003772","HEATHROW, UK","1949-07-14",,,"68",,
"UKM00003772","HEATHROW, UK","1949-07-15",,,"67",,
"UKM00003772","HEATHROW, UK","1949-07-16",,,"63",,
"UKM00003772","HEATHROW, UK","1949-07-17",,,"62",,
"UKM00003772","HEATHROW, UK","1949-07-18",,,"59",,
"UKM00003772","HEATHROW, UK","1949-07-19",,,"60",,
"UKM00003772","HEATHROW, UK","1949-07-20",,,"62",,
"UKM00003772","HEATHROW, UK","1949-07-21",,,"68",,
"UKM00003772","HEATHROW, UK","1949-07-22",,,"72",,
"UKM00003772","HEATHROW, UK","1949-07-23",,,"72",,
"UKM00003772","HEATHROW, UK","1949-07-24",,,"73",,
"UKM00003772","HEATHROW, UK","1949-07-25",,,"75",,
"UKM00003772","HEATHROW, UK","1949-07-26",,,"73",,
"UKM00003772","HEATHROW, UK","1949-07-27",,,"71",,
"UKM00003772","HEATHROW, UK","1949-07-28",,,"67",,
"UKM00003772","HEATHROW, UK","1949-07-29",,,"65",,
"UKM00003772","HEATHROW, UK","1949-07-30",,,"64",,
"UKM00003772","HEATHROW, UK","1949-07-31","0.05",,"65",,
"UKM00003772","HEATHROW, UK","1949-08-01",,,"65",,
"UKM00003772","HEATHROW, UK","1949-08-02",,,"64",,
"UKM00003772","HEATHROW, UK","1949-08-03",,,"61",,
"UKM00003772","HEATHROW, UK","1949-08-04",,,"61",,
"UKM00003772","HEATHROW, UK","1949-08-05",,,"66",,
"UKM00003772","HEATHROW, UK","1949-08-06",,,"65",,
"UKM00003772","HEATHROW, UK","1949-08-07",,,"62",,
"UKM00003772","HEATHROW, UK","1949-08-08",,,"64",,
"UKM00003772","HEATHROW, UK","1949-08-09",,,"60",,
"UKM00003772","HEATHROW, UK","1949-08-10",,,"60",,
"UKM00003772","HEATHROW, UK","1949-08-11",,,"59",,
"UKM00003772","HEATHROW, UK","1949-08-12",,,"59",,
"UKM00003772","HEATHROW, UK","1949-08-13",,,"66",,
"UKM00003772","HEATHROW, UK","1949-08-14",,,"69",,
"UKM00003772","HEATHROW, UK","1949-08-15",,,"69",,
"UKM00003772","HEATHROW, UK","1949-08-16",,,"62",,
"UKM00003772","HEATHROW, UK","1949-08-17",,,"60",,
